team,group,squad_number,position,player,date_of_birth,age,caps,goals,club,player_count,wiki_link,birthplace,lon,lat
England,G,9,FW,Harry Kane ,1993-07-28,24,24,13,Tottenham Hotspur,1,https://en.wikipedia.org/wiki/Harry_Kane,"Walthamstow, England",-0.0173437,51.5901769
England,G,10,FW,Raheem Sterling,1994-12-08,23,38,2,Manchester City,1,https://en.wikipedia.org/wiki/Raheem_Sterling,"Kingston, Jamaica",-76.8099041,18.0178743
England,G,11,FW,Jamie Vardy,1987-01-11,31,21,7,Leicester City,1,https://en.wikipedia.org/wiki/Jamie_Vardy,"Sheffield, England",-1.470085,53.38112899999999
England,G,12,DF,Kieran Trippier,1990-09-19,27,6,0,Tottenham Hotspur,1,https://en.wikipedia.org/wiki/Kieran_Trippier,"Bury, England",-2.2966054,53.5933498
England,G,13,GK,Jack Butland,1993-03-10,25,7,0,Stoke City,1,https://en.wikipedia.org/wiki/Jack_Butland,"Bristol, England",-2.58791,51.454513
England,G,14,FW,Danny Welbeck,1990-11-26,27,38,15,Arsenal,1,https://en.wikipedia.org/wiki/Danny_Welbeck,"Longsight, Manchester, England",-2.209688,53.463242
England,G,15,DF,Gary Cahill,1985-12-19,32,59,5,Chelsea,1,https://en.wikipedia.org/wiki/Gary_Cahill,"Dronfield, England",-1.467959,53.30227900000001
England,G,16,DF,Phil Jones,1992-02-21,26,24,0,Manchester United,1,"https://en.wikipedia.org/wiki/Phil_Jones_(footballer,_born_1992)","Preston, England",-2.70309,53.763201
England,G,17,DF,Fabian Delph,1989-11-21,28,10,0,Manchester City,1,https://en.wikipedia.org/wiki/Fabian_Delph,"Bradford, England",-1.759398,53.795984
England,G,18,DF,Ashley Young,1985-07-09,32,34,7,Manchester United,1,https://en.wikipedia.org/wiki/Ashley_Young,"Stevenage, England",-0.196612,51.903761
England,G,19,FW,Marcus Rashford,1997-10-31,20,18,2,Manchester United,1,https://en.wikipedia.org/wiki/Marcus_Rashford,"Wythenshawe, Manchester, England",-2.2712861,53.401455
England,G,20,MF,Dele Alli,1996-04-11,22,24,2,Tottenham Hotspur,1,https://en.wikipedia.org/wiki/Dele_Alli,"Milton Keynes, England",-0.7594171,52.0406224
England,G,21,MF,Ruben Loftus-Cheek,1996-01-23,22,3,0,Crystal Palace,1,https://en.wikipedia.org/wiki/Ruben_Loftus-Cheek,"Lewisham, London, England",-0.0117006,51.4414579
England,G,22,DF,Trent Alexander-Arnold,1998-10-07,19,0,0,Liverpool,1,https://en.wikipedia.org/wiki/Trent_Alexander-Arnold,"Liverpool, England",-2.9915726,53.4083714
England,G,23,GK,Nick Pope,1992-04-19,26,0,0,Burnley,1,https://en.wikipedia.org/wiki/Nick_Pope_(footballer),"Soham, England",0.3375079,52.335212
Panama,G,1,GK,Jaime Penedo,1981-09-26,36,130,0,Dinamo București,1,https://en.wikipedia.org/wiki/Jaime_Penedo,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,2,DF,Michael Amir Murillo,1996-02-11,22,21,2,New York Red Bulls,1,https://en.wikipedia.org/wiki/Michael_Amir_Murillo,"Panama City, Panama",-79.51986959999999,8.9823792
